Chemical Formula,Eg predicted by ETR (eV),Eg predicted by XGBR (eV)
C16H40N2Pb1I4,2.318651,2.590886
C16H40N2Bi1F4,2.878317,2.338924
C16H40N2Bi1Cl4,3.06624,3.066221
C16H40N2Bi1Br4,2.938673,2.859301
C16H40N2Bi1I4,2.291276,2.417256
C16H40N2Ge1F4,3.089036,3.303921
C16H40N2Ge1Cl4,3.139542,3.547178
C16H40N2Ge1Br4,2.960793,3.198071
C16H40N2Ge1I4,2.351284,2.624121
C16H40N2Cd1F4,2.622587,2.358776
C16H40N2Cd1Cl4,3.035992,3.576168
C16H40N2Cd1Br4,2.88737,3.245356
C16H40N2Cd1I4,2.586691,2.755035
C16H40N2Sn1F4,2.485905,2.345097
C16H40N2Sn1Cl4,2.922734,3.469097
C16H40N2Sn1Br4,2.719434,3.207566
C16H40N2Sn1I4,2.191027,2.733871
C16H40N2Pb1F4,2.898744,2.542402
C16H40N2Pb1Cl4,3.065698,3.367238
C16H40N2Pb1Br4,2.888761,3.047488
C16H40N2Pb1I4,2.31607,2.752503
C16H40N2Bi1F4,2.867602,2.225903
C16H40N2Bi1Cl4,3.049397,3.071058
C16H40N2Bi1Br4,2.945688,2.867939
C16H40N2Bi1I4,2.286161,2.326623
C32H80N4Ge1F4,3.123641,3.240529
C32H80N4Ge1Cl4,3.183378,3.522012
C32H80N4Ge1Br4,2.993897,3.292112
C32H80N4Ge1I4,2.328636,2.701104
C32H80N4Cd1F4,2.613114,2.319074
C32H80N4Cd1Cl4,3.130726,3.64524
C32H80N4Cd1Br4,2.970869,3.321039
C32H80N4Cd1I4,2.586494,2.831155
C32H80N4Sn1F4,2.54997,2.278846
C32H80N4Sn1Cl4,2.991574,3.529219
C32H80N4Sn1Br4,2.731956,3.260593
C32H80N4Sn1I4,2.177606,2.812923
C32H80N4Pb1F4,2.983036,2.496912
C32H80N4Pb1Cl4,3.102371,3.430759
C32H80N4Pb1Br4,2.914963,3.181736
C32H80N4Pb1I4,2.282849,2.78391
C32H80N4Bi1F4,2.874342,2.223343
C32H80N4Bi1Cl4,3.04034,3.074797
C32H80N4Bi1Br4,2.945356,2.862587
C32H80N4Bi1I4,2.264005,2.478842
C18H44N2Ge1F4,3.120569,4.04801
C18H44N2Ge1Cl4,3.124375,3.572319
C18H44N2Ge1Br4,2.964329,3.286137
