Chemical Formula, Original Eg (eV),Eg predicted by ETR (eV),Eg predicted by XGBR (eV)
C6H10N2Pb1Cl4,3.35,1.96,1.96138
C6H10N2Pb1Cl4,3.42,1.85,1.85499
C36H66N12O3Pb5I22,2.16,2.31,2.31722
C36H60N12O3Pb5I22,2.35,2.26,2.26836
C4H14N2Pb1Br4,2.58,2.29,2.29138
C5H16N2Pb1Br4,2.72,2.38,2.37698
C6H18N2Pb1Br4,2.6,2.28,2.28087
C18H14N4O8Sn1I4,2.2,2.13,2.13275
C8H14N2Pb1I4,2.29,2.35,2.35236
C54H102N7Sn2F4I11,1.9,2.27,2.27223
C70H88N6Sn2F4I11,1.7,2.39,2.37832
C30H68N6Sn1I6,2.06,2.39,2.38769
C68H96N8Sn1F4I6,1.98,2.39,2.39038
C60H78N6Sn1F4I6,2.01,2.28,2.28114
C8H12N1Pb1Br3,2.96,2.28,2.28048
C12H44N2Pb1Br4,3.12,2.23,2.24018
C4H14N2Pb1Br4,3.17,2.32,2.32308
C8H20N2O4Pb1Br4,3.21,2.05,2.05815
C5H11N3Pb1Br4,3.04,2.63,2.63194
C8H14N2Pb1Br4,3.24,2.64,2.63946
C4H16N2O2Pb1Br4,2.97,2.72,2.72024
C5H11N3Pb1Br4,2.69,2.72,2.71494
C11H38N2Pb1Br4,2.69,2.65,2.65059
C6H13N3Pb1Cl4,3.49,2.64,2.639
C2H12N2Cd1Cl4,5.29,2.27,2.26815
C4H12N2Cd1Br4F4,2.84,2.24,2.2404
C16H24N2Sn1Br4,2.5,2.34,2.33927
C20H48N2Sn1Br4,2.71,2.33,2.33318
C40H95N4Pb2Br8,2.98,2.23,2.23026
C29H45N3Pb1I6,2.07,2.06,2.05841
C8H12N1Pb1Br3,2.75,2.9,2.89579
C4H16N2O1S1Pb1Br4,3.18,2.32,2.31387
C6H18N2Pb1Cl4,3.87,2.35,2.35726
C4H18N2Pb1Br4F4,2.72,2.35,2.34166
C4H14N2Pb1Br4F8,3.04,2.85,2.85086
C4H10N2Pb1Br4F12,2.98,2.35,2.34967
C4H12N2Pb1I4,2.26,2.88,2.87497
C4H12N2Pb1Br4,2.81,2.26,2.26281
C4H12N2Pb1Br4,2.95,2.33,2.32818
C4H12N2Pb1Cl4,3.45,2.33,2.33101
C6H16N2Pb1Br4,3.12,2.34,2.34028
C6H16N2Pb1Br4,2.93,2.49,2.48429
C10H28N4Pb3Br10,2.97,2.51,2.50889
C2H2N2Cd1Cl4,3.07,2.5,2.49668
C4H16N2Cd1Cl4,3.34,2.27,2.27587
C24H56N2Cd1Cl4,3.04,2.37,2.36562
C4N2Pb1Cl4,2.64,2.15,2.15011
C4N2Cd1Cl4,2.6,2.2,2.20219
C8N4Cd1Cl4,2.63,2.21,2.20479
C4N2Cd1Cl4,2.59,2.28,2.27603
C8N2Cd1Cl4,2.62,2.14,2.14344
C6N2Cd1Cl3,2.59,2.16,2.15944
C16H24N2Pb1I5,2.36,1.99,1.99152
C16H24N2Pb1I5,2.4,2.74,2.7416
C32H76N6Pb1I6,2.38,2.03,2.02985
C34H66N6Pb1I6,2.4,2.01,2.01137
C16H22N2Pb1Br2I4,2.38,1.97,1.96372
C16H22N2Pb1Cl2I4,2.38,1.88,1.88104
C7H12N2Pb1I4,2.28,2.76,2.76345
C5H11N3Pb1I4,2.38,2.3,2.29734
C7H22N3Pb2Br7,2.51,2.7,2.69557
C7H22N3Pb2Br7,2.54,2.11,2.11111
C7H25N4Pb2Br7,2.55,2.83,2.82998
C7H21N4Pb2Br7,2.64,1.98,1.98023
C8Cs1H24N2Pb2Br7,2.7,3.43,3.42663
C8Cs1H24N2Pb2Br7,2.56,3.46,3.45763
C12Cs1H48N2Pb2Br7,2.42,2.36,2.35728
C9H29N4Pb2Br7,2.27,2.29,2.28907
C13H54N5Pb2Br7,2.52,2.86,2.85955
C10H36N4Pb3Br10,2.4,2.29,2.29172
C12H72N6Pb3Br10,2.34,3.35,3.3421
C9H32N3Pb2Br7,2.7,2.73,2.73385
C16H68N4Pb2Br7,2.55,2.1,2.10272
C22H66N6Pb2I7,1.9,2.68,2.68249
C10H32N4Pb3Br10,2.71,3.4,3.40112
C40H128N16Pb3Br10,2.5,3.41,3.40779
C80H256N32Pb3Br10,2.56,2.56,2.55705
C12H24N2Pb1F4I4,2.38,2.61,2.60777
C12H24N2Pb1F4I4,2.29,3.38,3.37843
C6H28N4Pb3Br10,2.7,2.84,2.84074
C40H176N24Pb3Br10,2.43,2.85,2.84774
C8H20N2O4Pb1I4,2.16,2.44,2.44464
C9H18N4O4Pb2I7,2.04,2.48,2.47826
C40H40N2Pb1I4,2.53,2.33,2.33101
C8H24N2Pb1Br4,2.84,2.8,2.79889
C10H36N4Pb3I10,1.86,2.64,2.64055
C11H55N5Pb4I13,1.96,2.34,2.33796
C4H14N2S2Pb1Br4,2.47,2.31,2.30815
C6N2Pb1Br4,2.47,3.38,3.38059
C24H50N2Pb1Br4,2.57,2.17,2.17958
C24H50N2Pb1Br4,2.48,3.4,3.4013
C32H53N5Pb4Cl12,3.59,2.85,2.85207
Rb3Bi2I9,2.1,2.23,2.23294
Rb3Bi2I9,2.3,3.32,3.31985
C6H8N2Pb1Cl4,3.09,2.31,2.3099
C2N6Pb1I4,2,2.61,2.62201
C24H60N2Pb1I6,2.29,2.64,2.63925
C16H32N2Pb1I4,2.25,2.74,2.73717
C16H24N2Pb1I4,2.3,2.16,2.16453
C36H56N4Pb3I10,2.32,2.13,2.13542
C33H110N11Pb5I18,2.11,2.14,2.14619
C3H13N2O1Cd1Cl4,4.4,2.16,2.15738
C9H48N2O8Cd1Cl4,3.29,2.39,2.39104
C19N3Pb2I11,1.96,3.31,3.31145
C16H22N2Pb1Cl2I4,2.34,3.17,3.17342
C16H22N2Pb1Cl2I4,2.34,2.82,2.82098
C16H22N2Pb1Cl2I4,2.36,2.39,2.3866
C6H18N2Pb1Br4,3.05,2.13,2.13222
C7H16N3Pb2Br7,2.73,2.5,2.50009
C7H16N3Pb2Br7,2.81,2.37,2.37049
C13N1Pb2Br7,2.66,2.6,2.59925
C7H21N4Pb2Br7,2.73,2.32,2.31978
C7H22N3Pb2Br7,2.73,2.32,2.31701
C32H45N4Pb2I8,2.34,2.21,2.20917
C7H17N2Pb1I4,2.28,2.7,2.69895
C5H9N3Pb1I4,2.38,2.34,2.33322
C8H24N2Pb1I4,2.23,3.27,3.26978
C9H30N3Pb2I7,2.02,2.355,2.35458
C15H32N3Pb2I7,1.98,2.31,2.3094
C16H32N4Pb3I10,1.79,2.22,2.21871
C38H47N6Pb4I23,2.08,2.64,2.64074
C114H160N18Pb12I45,2.08,2.68,2.68011
C8H32N4Pb3I10,1.58,3.34,3.33997
C9H38N5Pb4I13,1.8,2.21,2.20968
C31H112N11Pb7I25,2.14,2.23,2.23021
C31H112N11O1Pb7I25,2.05,2.21,2.20928
C24H79N8Pb5I18,2.32,2.31,2.30802
C48H158N16O1Pb10I36,2.1,2.07,2.07222
C38H132N14Pb9I32,2.16,2.12,2.11601
C36H132N14O1Pb9I32,2.02,2.67,2.66971
C6H10N2Pb1I4,2.11,2.82,2.82052
C7H16N3Pb2I7,1.88,2.46,2.46161
C8H22N4Pb3I10,1.73,2.47,2.47164
C9H28N5Pb4I13,1.66,2.67,2.66948
C6H10N2Pb1I4,2.17,2.73,2.72626
C7H16N3Pb2I7,1.94,2.31,2.30691
C8H22N4Pb3I10,1.77,2.75,2.75068
C6H16N2Pb1I4,2.38,2.61,2.61369
C12H32N4Pb1I4,2.13,2.77,2.76927
C11H34N3Pb2I7,2.09,2.79,2.78709
C12H40N4Pb3I10,1.97,2.28,2.27905
C18H55N4Cd3Cl10,3.37,2.8,2.7976
C16H24N2Cd1I5,2.15,2.91,2.90991
C20H48N4Cd3Cl10,3.4,2.76,2.75905
C40H96N6Cd3Cl10,3.37,2.61,2.60953
C30H86N4Cd3Cl10,3.4,2.65,2.64496
C18H54S6Pb3Br10,3.49,2.39,2.38608
C8H20S2Pb1Br4,3.78,2.88,2.88057
C13H46N5Pb4I13,1.85,2.15,2.15103
C14H52N6Pb5I16,1.76,2.29,2.30248
C13H38N3Pb2I7,2.1,2.25,2.25296
C14H44N4Pb3I10,1.96,2.3,2.29646
C15H50N5Pb4I13,1.85,2.3,2.29692
C14H36N2Pb1I4,2.31,2.29,2.29132
C14H36N2Pb1I4,2.26,2.28,2.27484
C14H36N2Pb1I4,2.29,2.04,2.0406
C16H40N2Pb1I4,2.38,2.24,2.23919
C16H40N2Pb1I4,2.28,2.23,2.22926
C32H80N4Pb1I4,2.13,2.22,2.21973
C18H44N2Pb1I4,2.35,2.52,2.52116
C18H44N2Pb1I4,2.27,2.23,2.23021
C20H48N2Pb1I4,2.39,3.33,3.33121
C20H48N2Pb1I4,2.39,2.87,2.86775
C20H48N2Pb1I4,2.39,2.11,2.11019
C20H48N2Pb1I4,2.28,2.28,2.28074
C20H48N2Pb1I4,2.28,2.845,2.84517
C16H22N2Pb1F2I4,2.23,2.09,2.0893
C16H22N2Pb1Cl2I4,2.32,2.05,2.05198
C28H44N4Pb1Br2I6,2.05,2.15,2.1487
C4H8N6Pb1Br4,2.63,2.17,2.16299
C4H8N6Pb1Br4,2.64,2.15,2.14999
C4H14N4Pb1Br4,2.72,1.83,1.82872
C4H14N4Pb1Br4,2.72,2.63,2.62998
C13H23N12Pb2Br8,2.65,2.65,2.64715
C13H23N12Pb2Br8,2.64,2.62,2.6221
C14H20N2Pb1I4,2.27,2.6,2.59987
C14H18N2Pb1F2I4,2.24,2.58,2.57507
C14H18N2Pb1Cl2I4,2.34,2.515,2.51457
C14H18N2Pb1Br2I4,2.33,2.515,2.51457
C16H18N2Pb1F12I4,2.23,2.17,2.17131
C33H57N5Pb2I11,2.06,2,1.994
C24H28N2Pb1Br4,2.9,1.88,1.87888
C12H14N1Pb1I3,2.32,1.93,1.92814
C16H24N2Pb1I4,2.35,2.2,2.19928
C16H24N2Pb1I4,2.35,2.89,2.89051
C24H28N2Pb1Br4,2.85,2.8,2.80369
C16H24N2Pb1I4,2.35,2.82,2.82089
C24H28N2Pb1Br4,2.88,2.84,2.84215
C30H40N2O4Pb1I6,2.26,2.85,2.85298
C26H32N2O4Pb1I4,2.33,3.34,3.33635
C28H36N2O2Pb1I4,2.33,2.845,2.84517
C32H44N2O2Pb1I4,2.34,2.1,2.09834
C34H48N2O4Pb1I4,2.49,2.1,2.09932
C18H18N2O2Pb1Cl10I4,2.51,2.11,2.11167
C4H12N4S2Pb1I2,2.5,1.96,1.9626
C4N4S2Pb1I2,2.27,2.11,2.11277
C2N4S2Pb1I2,2.37,2.39,2.38953
C16H24N2Sn1I4,2.15,2.7,2.70035
C16H24N2Sn1I4,2.2,2.87,2.87033
C16H24N2Sn1I4,2.21,2.65,2.65082
C12H24N2Pb1F4I4,2.28,2.63,2.63167
C16H46N4Pb1F4I4,2.14,2.18,2.18087
C20H42N2Pb1F8I4,2.16,2.91,2.91247
C16N2Pb1F8I4,1.99,2.31,2.3112
C4H13N5Pb1Br4,2.74,2.88,2.88259
C12H40N4Pb3I10,2.03,2.86,2.85934
C12H40N4Pb3I10,2.01,2.2,2.20034
C10H36N4Pb3I10,1.97,2.15,2.1488
C10H36N4Pb3I10,1.88,2.22,2.21585
C16H38N4Pb1Br4F4,2.76,2.15,2.14921
C10H20N2Pb1F4I4,2.3,2.09,2.0943
C12H32N4Pb1Br4,2.7,2.75,2.75019
